Occupation,Core Skills,Specialized Skills,Adjacent Skills,Bridging Skills
Robotics Engineers,"['Automation', 'Policy Analysis, Research, and Development', 'Business', 'Communication']",['Design'],[],"['C', 'C and C++', 'Robotics', 'Water Supply, Testing, and Treatment', 'Science and Research', 'Computer Science', 'Databases', 'User Acceptance Testing (UAT)', 'Java', 'Programming languages', 'Prism', 'Oracle', 'Problem Solving']"
Computer Network Support Specialists,"['Communication', 'Company, Product, and Service Knowledge', 'Business', 'Policy Analysis, Research, and Development', 'Maintenance, Repair, and Facility Services', 'Science and Research', 'Technical Support and Services', 'Computer Science', 'Engineering, Scientific, and Technical Instruments', 'Customer Service', 'Design', 'Information Technology']","['Administration', 'Problem Solving', 'Sales', 'Analysis', 'Linux', 'Service Management']",[],"['Servers', 'Education and Training', 'Economics, Policy, and Social Studies', 'Water Supply, Testing, and Treatment', 'VMware', 'Installation', 'Language', 'Project Management', 'Knowledge Base', 'Fire Prevention, Safety, and Control', 'Information Systems', 'Active Directory', 'Virtualization', 'Writing', 'Cloud Computing', 'Production and Assembly', 'Java', 'Architecture and Construction', 'Business Requirements', 'Firewall', 'Python', 'Scripting', 'Customer and Client Support', 'JavaScript and jQuery', 'JavaScript', 'Citrix', 'Capacity Planning', 'HyperText Markup Language (HTML)', 'PHP', 'Application Programming Interface (API)', 'Management Information Systems', 'Initiative and Leadership', 'TCP/IP', 'Computer Engineering', 'Transmission Control Protocol (TCP)', 'Amazon Web Services (AWS)', 'Automation', 'Oracle', 'Health Information Systems (HIS)', 'Application Development', 'Fortinet', 'Business Process', 'Service Level', 'Microsoft Excel', 'National Airspace System (NAS)', 'Storage Area Network (SAN)', 'Operating Systems', 'Scheduling', 'JIRA', 'Process Improvement and Optimization', 'Statistics', 'Network Security', 'Telephony', 'IT Service Management', 'Virtual Private Networks (VPN)', 'SolarWinds', 'Dynamic Host Configuration Protocol (DHCP)', 'Change Requests', 'Events and Conferences', 'Transportation, Supply Chain, and Logistics', 'Microsoft Windows', 'Network Infrastructure', 'Compensation and Benefits']"
Computer Systems Engineers/Architects,"['Design', 'Policy Analysis, Research, and Development', 'Business', 'Company, Product, and Service Knowledge', 'Engineering, Scientific, and Technical Instruments', 'Architecture and Construction', 'Communication', 'Science and Research', 'Computer Science', 'Information Technology', 'Maintenance, Repair, and Facility Services', 'Analysis', 'Linux', 'Water Supply, Testing, and Treatment', 'Administration', 'Amazon Web Services (AWS)', 'Automation', 'Firewall', 'Python', 'Project Management', 'Fire Prevention, Safety, and Control', 'Java', 'Servers', 'Virtual Private Networks (VPN)']","['Production and Assembly', 'Software Development', 'Law, Regulation, and Compliance', 'DevOps', 'Problem Solving', 'Business Requirements', 'Installation', 'Scripting', 'Cloud Infrastructure', 'Application Programming Interface (API)', 'Databases', 'C', 'C and C++', 'Travel and Tourism', 'Git']",[],"['Network Security', 'Network Infrastructure', 'Open Shortest Path First (OSPF)', 'Sales', 'PHP', 'Transmission Control Protocol (TCP)', 'Writing', 'Education and Training', 'Language', 'Virtualization', 'Routing Protocols', 'TCP/IP', 'Operating Systems', 'Change Management', 'MySQL', 'NoSQL', 'JavaScript', 'JavaScript and jQuery', 'VMware', 'Debugging', 'Banking', 'Web Services', 'Technical Support and Services', 'Ansible', 'Microservices', 'Computer Engineering', 'JIRA', 'Economics, Policy, and Social Studies', 'Unix', 'UNIX', 'Analytics', 'Solution Design', 'Network Engineering', 'Enterprise Architecture', 'Kubernetes', 'Oracle', 'Cloud Computing', 'Machine Learning (ML)', 'Dynamic Host Configuration Protocol (DHCP)', 'Load Balancing', 'Events and Conferences', 'Docker', 'C++', 'Disaster Recovery', 'SolarWinds', 'Solution Architecture', 'IT Infrastructure', 'Customer Service', 'Firmware', 'Marketing', 'Infrastructure As A Service (IaaS)', 'Terraform', 'React', 'Cloud Technologies', 'Incident Management', 'Application Development', 'Big Data', 'C#', 'Configuration Management', 'Initiative and Leadership', 'Electronics', 'System Administration', 'Virtual Local Area Network (VLAN)', 'Cisco Routers', 'Emerging Technologies', 'In-Plane Switching (IPS)', 'Telecommunications', 'Technical Assistance', 'Scalability', 'MongoDB', 'Google Cloud Platform', 'Systems Architecture', 'Cloud Services', 'Artificial Intelligence (AI)', 'Continuous Integration', 'Service Level', 'Telephony', 'Bash', 'Active Directory', 'System Design and Implementation', 'Software Engineering', 'Perl', 'Fortinet', 'Root Cause Analysis', 'Architectural Design', 'Google', 'PostgreSQL', 'Technology Solutions', 'Apache', 'HTML5', 'Information Systems', 'Data Management', 'Uptime', 'Candidate Relationship Management (CRM)', 'HyperText Markup Language (HTML)', 'Network Support', 'SSL', 'R', 'ServiceNow', 'Financial Services', 'Storage Area Network (SAN)', 'Peripheral Component Interconnect (PCI)', 'Cascading Style Sheets (CSS)', 'Network Monitoring', 'Jenkins', 'Citrix', 'Systems Engineering', 'Technical Documentation', 'UI/UX', 'Cloud Solutions', 'Electrical and Computer Engineering', 'Tooling', 'Internet Of Things (IoT)', 'Service Management', 'Customer and Client Support', 'Statistics', 'Computer Systems', 'Ruby', 'Compensation and Benefits', 'Templates', 'Continuous Delivery', 'Software Design', 'Business Strategy', 'Business Systems', 'Quality Assurance and Control', 'Hardening', 'Equity and Debt', 'System Requirements', 'Server Administration', 'Business Analysis', 'jQuery', 'Business Process', 'Relational Databases', 'Management Systems', 'JSON', 'Gitlab']"
Information Security Engineers,"['Communication', 'Policy Analysis, Research, and Development', 'Business', 'Design', 'Engineering, Scientific, and Technical Instruments', 'Administration', 'Amazon Web Services (AWS)', 'Science and Research', 'Company, Product, and Service Knowledge', 'Computer Science', 'Linux', 'Maintenance, Repair, and Facility Services', 'Water Supply, Testing, and Treatment', 'Architecture and Construction', 'Automation', 'DevOps', 'Information Technology', 'Law, Regulation, and Compliance', 'Analysis', 'Scripting', 'Servers', 'Python']","['Cloud Infrastructure', 'System Administration', 'Firewall', 'Incident Response', 'Cloud Services', 'Cyber Security', 'Active Directory', 'Transmission Control Protocol (TCP)', 'Kubernetes']",['Network Security'],"['Vulnerability', 'Cybersecurity', 'Production and Assembly', 'Fire Prevention, Safety, and Control', 'JavaScript and jQuery', 'JavaScript', 'Public Cloud', 'Java', 'Computer Engineering', 'Google', 'Problem Solving', 'Events and Conferences', 'Security Operations', 'Project Management', 'Unix', 'UNIX', 'Ansible', 'Operating Systems', 'Education and Training', 'Encryption', 'Disaster Recovery', 'Terraform', 'Analytics', 'TCP/IP', 'Cloud Computing', 'Mitigation', 'Information Systems', 'Debugging', 'Installation', 'Virtual Private Networks (VPN)', 'VMware', 'Writing', 'Google Cloud Platform', 'Docker', 'Bash', 'Simple Object Access Protocol (SOAP)', 'PHP', 'Web Services', 'Software Development', 'Chef', 'In-Plane Switching (IPS)', 'Google Cloud', 'Application Programming Interface (API)', 'Git', 'Sales', 'Technical Support and Services', 'Penetration Testing', 'Jenkins', 'XML', 'Change Management', 'Customer Service', 'Infrastructure As A Service (IaaS)', 'Incident Management', 'Microsoft Azure', 'JSON', 'SSL', 'Economics, Policy, and Social Studies', 'Virtualization', 'Application Security', 'Service Management', 'Programming languages', 'Problem Management', 'Ruby', 'Language', 'NoSQL', 'Puppet', 'HyperText Markup Language (HTML)', 'Databases', 'Cloud Migration', 'Risk Management', 'Splunk', 'Configuration Management', 'Oracle', 'Cloud Technologies', 'Unit Testing', 'Travel and Tourism', 'Microservices', 'MySQL', 'Application Development']"
Data Scientists,"['Business', 'Analysis', 'Policy Analysis, Research, and Development', 'Communication', 'Science and Research', 'Analytics', 'Company, Product, and Service Knowledge', 'Python', 'Design', 'Computer Science', 'Engineering, Scientific, and Technical Instruments', 'Statistics', 'Data Analysis', 'Extract Transform Load (ETL)', 'Tableau', 'Visualization', 'Machine Learning (ML)', 'Databases', 'Data Science', 'Architecture and Construction', 'R', 'Big Data', 'Language', 'Water Supply, Testing, and Treatment', 'Data Quality', 'Data Visualization', 'Data Mining', 'Amazon Web Services (AWS)', 'Power BI', 'Business Intelligence']","['Writing', 'Data Management', 'Java', 'Project Management', 'Maintenance, Repair, and Facility Services', 'Google', 'Production and Assembly', 'Business Requirements', 'Information Technology', 'Algorithms', 'Marketing', 'Automation', 'Oracle', 'Artificial Intelligence (AI)', 'Scripting', 'Data Engineering', 'Administration', 'Fire Prevention, Safety, and Control', 'Linux', 'Data Integration', 'Education and Training', 'DevOps', 'Apache']",[],"['Sales', 'Economics, Policy, and Social Studies', 'Finance', 'Data Modeling', 'Dashboard', 'Problem Solving', 'Relational Databases', 'Data Pipeline', 'Warehousing', 'Data Processing', 'Data Warehousing', 'Data Collection', 'Statistical Analysis', 'Metadata', 'Scala', 'Unstructured Data', 'Microsoft Excel', 'Product Development', 'MySQL', 'Law, Regulation, and Compliance', 'Microsoft Office', 'Data Architecture', 'Information Systems', 'Software Development', 'Data Governance', 'Process Improvement and Optimization', 'Airflow', 'Application Programming Interface (API)', 'Accounting', 'Customer Service', 'Talend', 'Data Cleansing', 'UNIX', 'Unix', 'Quality Assurance and Control', 'C++', 'SAS', 'Google Data', 'C', 'C and C++', 'Banking', 'Informatica', 'Data Transformation', 'Web Services', 'Programming languages', 'Git', 'Software Engineering', 'Financial Services', 'Transportation, Supply Chain, and Logistics', 'Predictive Modeling', 'Google Analytics', 'Scalability', 'SAP', 'Data Integrity', 'Initiative and Leadership', 'JavaScript and jQuery', 'JavaScript', 'Database Management', 'Raw Data', 'Data Storage', 'Data Infrastructure', 'TensorFlow', 'Data Ingestion', 'Business Analytics', 'NumPy', 'PostgreSQL', 'Data Structures', 'Reporting Tools', 'Docker', 'Media and Writing', 'Kubernetes', 'Templates', 'Business Strategy', 'Statistical Software', 'Statistical software', 'Machine Learning Algorithms', 'Computer Engineering', 'Salesforce', 'PHP', 'BigQuery', 'Google Cloud Platform', 'Applied Statistics', 'Data Acquisition', 'NoSQL', 'Data Manipulation', 'Art and Illustration', 'Data Migration', 'Debugging', 'Business Solutions', 'Travel and Tourism', 'Root Cause Analysis', 'Compensation and Benefits', 'Physics', 'C#', 'Databricks', 'HyperText Markup Language (HTML)', 'Business Analysis', 'XML', 'Digital Marketing', 'Information Management', 'Scripting Languages', 'Cloud Technologies', 'Alteryx', 'Jenkins', 'Business Intelligence Tools', 'Data Mapping', 'Business Management', 'MapReduce', 'Inventory and Warehousing', 'Google Cloud', 'User Acceptance Testing (UAT)', 'Natural Language Processing', 'E-Commerce', 'Recruitment', 'Dataset', 'Database Design', 'Microsoft Azure']"
Medical Records Specialists,"['Company, Product, and Service Knowledge', 'Nursing', 'Communication', 'Medical Records']","['Policy Analysis, Research, and Development', 'PHP']","['Current Procedural Terminology (CPT)', 'Law, Regulation, and Compliance', 'Health Care', 'Economics, Policy, and Social Studies']","['Business', 'Customer Service', 'Forth', 'Medical Terminology', 'Compensation and Benefits', 'Procedure Codes', 'Science and Research']"
Electrical And Electronic Engineering Technologists And Technicians,"['Company, Product, and Service Knowledge', 'Communication', 'Business', 'Policy Analysis, Research, and Development', 'Analysis', 'Water Supply, Testing, and Treatment', 'Engineering, Scientific, and Technical Instruments']","['Science and Research', 'Production and Assembly', 'Design', 'Google']",['Marketing'],"['Digital Marketing', 'Sales', 'Writing', 'Accounting', 'Education and Training', 'Problem Solving', 'Business Analysis', 'Java', 'Statistics', 'Information Technology', 'Economics, Policy, and Social Studies', 'Travel and Tourism', 'Media and Writing', 'Transportation, Supply Chain, and Logistics', 'Recruitment', 'Python', 'DevOps', 'Fire Prevention, Safety, and Control', 'Law, Regulation, and Compliance', 'Art and Illustration', 'Computer Science']"
Software Developers,"['Policy Analysis, Research, and Development', 'Design', 'Science and Research', 'Company, Product, and Service Knowledge', 'Computer Science', 'Water Supply, Testing, and Treatment', 'Communication', 'Business', 'JavaScript', 'JavaScript and jQuery', 'Engineering, Scientific, and Technical Instruments', 'Software Development', 'Java', 'C', 'C and C++', 'Git', 'Cascading Style Sheets (CSS)', 'Architecture and Construction', 'C#', 'Application Programming Interface (API)', 'Information Technology', 'HyperText Markup Language (HTML)', 'Amazon Web Services (AWS)', 'Analysis', 'Python', 'Language', 'Production and Assembly', 'UI/UX', 'MySQL', 'Android', 'Automation', 'PHP', 'Writing', 'Maintenance, Repair, and Facility Services', 'React', 'jQuery', 'Databases', 'DevOps', 'Fire Prevention, Safety, and Control', 'Web Services', 'Linux', 'Application Development', 'Debugging', 'ASP.NET', 'HTML5', 'Web Development', 'Unit Testing', 'Scripting', 'Web Applications', 'Oracle']","['JSON', 'Docker', 'Software Engineering', 'Problem Solving', 'Business Requirements', 'Continuous Integration', 'Object-Oriented Programming (OOP)', 'Programming languages', 'Computer Engineering', 'Law, Regulation, and Compliance', 'XML', 'Spring', 'TypeScript', 'Google', 'C++', 'Jenkins', 'JIRA', 'MongoDB', 'Bootstrap', 'PostgreSQL', 'NoSQL', 'Kubernetes', 'Simple Object Access Protocol (SOAP)', 'Version Control', 'Administration', 'Technical Documentation', 'Education and Training', 'GitHub', 'Github', 'AJAX', 'Software Design', 'Microservices', 'Scalability', 'Project Management', 'UNIX', 'Unix', 'Servers', 'Quality Assurance and Control', 'Analytics', 'Relational Databases', 'Marketing', 'Ansible', 'Apache', 'Continuous Delivery']",[],"['Swift', 'Node.js', 'Kotlin', 'Technical Support and Services', 'Test-Driven Development (TDD)', 'Laravel', 'Mobile Development', 'Algorithms', 'Usability', 'User Experience', 'Product Development', 'Ruby', 'Development Environment', 'Software Development Life Cycle', 'Extract Transform Load (ETL)', 'Data Structures', 'Mobile App', 'Banking', 'Server-Side', 'React Native', 'Entity Framework', 'System Design and Implementation', 'User Interface', 'Bash', 'Information Systems', '.NET Framework', 'Emerging Technologies', 'Compensation and Benefits', 'Software Systems', 'Initiative and Leadership', 'Google Cloud Platform', 'Integration Testing', 'Terraform', 'Performance Tuning', 'User Acceptance Testing (UAT)', 'Android SDK', 'SASS', 'Test Automation', 'JavaScript Frameworks', 'Spring Boot', 'Travel and Tourism', 'Agile Methodology', 'Android Studio', 'Redis', 'Configuration Management', 'Business Process', 'Xcode', 'GraphQL', 'Health Information Systems (HIS)', 'Agile Software Development', 'Events and Conferences', 'Django', 'Web Application Development', 'Installation', 'E-Commerce', 'Solution Design', 'React.js', 'Design Specifications', 'Webpack', 'Sales', 'Bitbucket', 'Root Cause Analysis', 'Operating Systems', 'Selenium', 'Recruitment', 'Azure DevOps', 'Candidate Relationship Management (CRM)', 'Database Design', 'Finance', 'Active Server Pages (ASP)', 'RESTful API', 'Media and Writing', 'Gitlab', 'JUnit', 'Junit', 'IOS Applications', 'Firebase', 'Data Storage', 'IOS Development', 'Change Management', 'Performance Testing', 'Cloud Infrastructure', 'Google Cloud', 'PL/SQL', 'Code Review', 'Elasticsearch', 'Android Development', 'Chef', 'Customer Service', 'Software Development Methodologies', 'WordPress', 'Software Architecture', 'Management Systems', 'Acceptance Testing', 'Transmission Control Protocol (TCP)', 'Programming Concepts', 'Stage', 'Spring Framework', 'Application Design', 'Cloud Computing', 'Benchmarking', 'Data Modeling', 'Tooling', 'Nginx', 'Control Systems', 'SAP', 'Machine Learning (ML)', 'Flowcharts', 'Grafana', 'Research And Development', 'Vue.js', 'Cloud Services', 'Microsoft SQL Server', 'Database Management', 'Mobile Application Development', 'Object-Oriented Design', 'Business Intelligence', 'Android Applications', 'Magento', 'Web Design and Development', 'Browser Compatibility', 'Big Data', 'Confluence', '.NET Development', 'Facebook', 'Ruby On Rails', 'Ruby on Rails', 'Microsoft Azure', 'Warehousing', 'Data Management', 'Art and Illustration', 'Puppet', 'Library and Archiving', 'Scripting Languages', 'Transportation, Supply Chain, and Logistics', 'Artificial Intelligence (AI)', 'Xamarin', 'Middleware', 'Release Management', 'Perl', 'Economics, Policy, and Social Studies', 'Data Warehousing', 'System Administration', 'Process Improvement and Optimization', 'Energy and Utilities', 'Codebase', 'AUTO', 'API Design', 'System Testing', 'Sprint Planning', 'System Requirements', 'Systems Analysis', 'Graphic and Visual Design', 'Drupal', 'Product Management', 'Templates', 'Scala', 'Google Play', 'Slack', 'Maintainability', 'ServiceNow', 'Incident Management', 'Memory Management', 'Visualization', 'RabbitMQ', 'Financial Services', 'Design Reviews', 'Gradle', 'Service Level', 'Computer Programming', 'TCP/IP', 'Database Systems', 'Symfony', 'Shopify', 'Ubuntu', 'Containerization', 'MariaDB', 'Requirements Analysis', 'Database Administration', 'Nunit', 'API Gateway', 'Statistics', 'Templating', 'Architectural Patterns', 'Software Testing', 'Systems Integration', 'Scheduling', 'R', 'Test Data', 'Systems Development', 'Cocoa Touch', 'Cloud Technologies', 'OpenShift', 'Project Planning', 'Kibana']"
Blockchain Engineers,"['Policy Analysis, Research, and Development', 'Design', 'Company, Product, and Service Knowledge', 'Communication', 'Water Supply, Testing, and Treatment', 'Business', 'Architecture and Construction', 'Java']","['Science and Research', 'Computer Science', 'Linux']",[],"['Oracle', 'Blockchain', 'Web Services', 'Engineering, Scientific, and Technical Instruments', 'IBM WebSphere', 'Fire Prevention, Safety, and Control', 'Production and Assembly', 'Banking', 'Language', 'Analysis', 'JavaScript and jQuery', 'JavaScript', 'Git', 'Scripting', 'Application Programming Interface (API)', 'Unix', 'MuleSoft', 'UI/UX', 'Version Control', 'Python', 'Problem Solving', 'XML', 'Middleware', 'UNIX', 'Software Development', 'Amazon Web Services (AWS)', 'Swift', 'Travel and Tourism', 'Simple Object Access Protocol (SOAP)', 'Business Requirements', 'Maintenance, Repair, and Facility Services', 'Business Analysis', 'Writing', 'Facebook', 'Software Architecture', 'Administration', 'Automation', 'PHP', 'Solution Design']"
Computer Systems Analysts,"['Business', 'Policy Analysis, Research, and Development', 'Design', 'Communication', 'Water Supply, Testing, and Treatment', 'Analysis', 'Company, Product, and Service Knowledge', 'Science and Research', 'Computer Science', 'Business Requirements', 'Information Technology', 'Engineering, Scientific, and Technical Instruments', 'Salesforce', 'Business Process', 'Sales', 'Maintenance, Repair, and Facility Services', 'Software Development', 'SAP', 'Administration']","['Production and Assembly', 'Oracle', 'Project Management', 'User Acceptance Testing (UAT)', 'Candidate Relationship Management (CRM)', 'Writing', 'Java', 'Architecture and Construction', 'Accounting', 'Finance', 'Law, Regulation, and Compliance', 'Fire Prevention, Safety, and Control', 'JavaScript and jQuery', 'JavaScript', 'Education and Training']",[],"['Business Analysis', 'Language', 'Marketing', 'Banking', 'Problem Solving', 'Acceptance Testing', 'Information Systems', 'HyperText Markup Language (HTML)', 'Cascading Style Sheets (CSS)', 'System Requirements', 'JIRA', 'Technical Support and Services', 'C', 'C and C++', 'Quality Assurance and Control', 'Databases', 'Application Programming Interface (API)', 'Billing and Invoicing', 'Travel and Tourism', 'Automation', 'Inventory and Warehousing', 'Netsuite', 'Data Migration', 'Visualforce', 'Linux', 'Change Management', 'Web Services', 'Data Management', 'Unit Testing', 'Functional Specification', 'Analytics', 'Installation', 'Scripting', 'Application Development', 'Transportation, Supply Chain, and Logistics', 'Change Requests', 'C#', 'Systems Analysis', 'Initiative and Leadership', 'UI/UX', 'Manufacturing and Production', 'Software Engineering', 'UNIX', 'Debugging', 'PHP', 'System Design and Implementation', 'Computer Engineering', 'MySQL', 'Unix', 'Requirements Analysis', 'Events and Conferences', 'Microsoft Office', 'Technical Writing', 'Payroll', 'XML', 'Microsoft Dynamics', 'Business Management', 'Solution Design', 'Business Solutions', 'Gap Analysis', 'Process Analysis', 'Customer Service', 'Advanced Business Application Programming (ABAP)', 'Salesforce Development', 'Business Strategy', 'System Configuration', 'Human Capital Management (HCM)', 'Data Integrity', 'PL/SQL', 'Industrial Engineering', 'Warehouse Management', 'Service Management', 'Purchasing', 'Systems Development', 'Economics, Policy, and Social Studies', 'General Ledger', 'Operating Systems', 'Recruitment', 'Visualization', 'ERP software', 'Business Intelligence', 'Technical Assistance', 'Software Design', 'System Testing', 'JSON', 'Database Management', 'Integration Testing', 'HTML5', 'Python', 'Database Design', 'Customer and Client Support', 'Software Testing']"
