degree,All Hard Skills,No. of Hard Skills
Accountancy,"['Public Accounting', 'General Accounting', 'Rooting', 'Education', 'Tax', 'Financial Reporting', 'Accounting', 'International Education', 'Control Systems', 'Environment', 'Framework']",11
Accounting Information System,"['Computer System', 'Rooting', 'General Accounting', 'C', 'Education', 'Organizational Performance', 'Accounting', 'International Education', 'Environment', 'Framework']",10
Aeronautical Engineering,"['Sustainable Development', 'Clipper', 'Scale', 'Working Drawings', 'Legislation', 'Assembly', 'Engineering', 'Energy', 'CAD', 'Dimensioning', 'Descriptive Geometry', 'Environment', 'Kinematics', 'Calorimetry', 'Thermodynamics', 'Elastic', 'Chemistry', 'Heat Transfer', 'Waste Management', 'Supply Chain Management', 'Gas', 'Construction', 'Waves', 'Supply Chain', 'Waste Treatment', 'Geometry', 'Transistor', 'Optics', 'Calculations', 'Electronics', 'Electricity', 'Science', 'Application', 'Investment Decisions', 'Framework']",35
Agricultural and Biosystems Engineering,"['Rate Of Return', 'Financial Reporting', 'Surveying', 'Electrical Engineering', 'Of Water', 'Fluid Statics', 'Solar Energy', 'Foundry', 'Economic Analysis', 'Environmental Control', 'Calorimetry', 'Welding', 'Biomass', 'Management Systems', 'Crop Production', 'Grading', 'Groundwater', 'Feasibility Studies', 'Condensers', 'Conservation', 'Statistics', 'Benefits', 'Storage Systems', 'Anatomy', 'Application', 'Buckling', 'Flow Measurement', 'Land Grading', 'Economics', 'Return On Investment', 'Animal Science', 'Machinery', 'Environment', 'Process Engineering', 'Production', 'Thermodynamics', 'Power Tools', 'Sensitivity Analysis', 'Drainage', 'Control Systems', 'Net Present Value', 'Mechanization', 'Tool', 'Science', 'Random Variables', 'Engineering', 'CAD', 'Physiology', 'Financial Statements', 'Intellectual Property', 'Computer Programming', 'Property Rights', 'Indicators', 'Kinematics', 'Climate Change', 'Hydrograph', 'Poultry', 'Heat Transfer', 'Water Conservation', 'Nutrition', 'Probability', 'Trade Agreement', 'Balance Sheet', 'Optics', 'Calculations', 'Livestock Production', 'Engineering Ethics', 'Irrigation', 'Investments', 'Drainage Systems', 'Material Selection', 'Break-Even Analysis', 'Fluid', 'Sustainable Development', 'International Financial Reporting Standards', 'Topographic Surveying', 'Advanced Mathematics', 'Equations', 'Energy', 'Accounting', 'Income Statement', 'Machining', 'Differential Equations', 'Material', 'Shear', 'Chemistry', 'Statistical Software', 'Statistical software', 'Plant Design', 'Statistical Analysis', 'Construction', 'Waves', 'Erosion Control', 'Time Value Of Money', 'Aquaculture', 'Refrigeration', 'Control Engineering', 'Electricity', 'Reduction', 'Experimental Design']",100
Agriculture,"['Chemical Composition', 'Genetics', 'Production Management', 'Epidemiology', 'Transmission', 'Laboratory Techniques', 'Farming', 'Population Dynamics', 'Laboratory Procedures', 'Weed Control', 'Drawing', 'Eukaryotes', 'Sampling', 'Environment', 'Photography', 'Disease Management', 'Production', 'Poultry', 'Biology', 'Plant Propagation', 'Microfinance', 'Land Use', 'Ecology', 'Nutrition', 'Marketing', 'Conservation', 'Illustration', 'Supply Chain', 'Taxonomy', 'Landscaping', 'Curation', 'Viruses', 'Metabolism', 'Land Management', 'Mechanics', 'Agriculture', 'Disease Prevention', 'Soil Conservation', 'Soil Health', 'Morphology', 'Application', 'Biosecurity', 'Dissemination', 'Disease Control']",44
Anthropology,"['Medicine', 'Cultural Anthropology', 'Anthropology', 'Environmental Anthropology', 'Cultural Diversity', 'Archaeology', 'Social Development', 'Social Sciences', 'Learning Styles']",9
Architecture,"['Conceptualization', 'Production', 'Construction', 'Conservation', 'ACT', 'Engineering', 'Architectural Design', 'Renovation', 'Conferences', 'Restoration', 'Environment', 'Architecture']",12
Biology,"['Genetics', 'Cytogenetics', 'Contamination', 'Environmental Quality', 'Photosynthesis', 'Physiology', 'Animal Physiology', 'Environment', 'Production', 'Certain', 'Ecological Systems', 'Biology', 'Food', 'Medicine', 'Ecology', 'Nutrition', 'Evolutionary Genetics', 'Viruses', 'Microbiology', 'Population Genetics', 'Anatomy', 'Morphology', 'Algae']",23
Business Administration,"['Good Governance', 'Education', 'Quality Improvement', 'Economy', 'Continuous Quality Improvement']",5
Ceramics Engineering,"['Microscopy', 'Median', 'Sintering', 'Working Drawings', 'Composites', 'Fluid Statics', 'Calorimetry', 'Elastic', 'Transport Phenomena', 'Nucleation', 'Image Analysis', 'Manufacturing', 'Engineering Practices', 'Statistics', 'Ceramic Materials', 'Spectroscopic Methods', 'Research And Development', 'Application', 'Kilns', 'Alternating Current', 'Unit Processes', 'Machinery', 'Environment', 'Regression Analysis', 'Production', 'Engineering Research', 'Waste Management', 'Materials Studio', 'Service', 'ANOVA', 'Commercial Software', 'Tool', 'Deformation', 'Phase Diagram', 'Ceramics', 'Framework', 'Legislation', 'Assembly', 'Electron Microscopy', 'Engineering', 'Descriptive Geometry', 'Refractory', 'Training', 'Kinematics', 'Heat Transfer', 'Rigid Bodies', 'Probability', 'Geometry', 'Inertia', 'Microstructure', 'Optics', 'Calculations', 'Precipitation', 'Investment Decisions', 'Fluid', 'Sustainable Development', 'Stoichiometry', 'Scale', 'On-The-Job Training', 'Advanced Mathematics', 'Equations', 'Energy', 'Dimensioning', 'Sampling', 'Differential Equations', 'Cost Estimation', 'Material', 'Economy', 'Shear', 'Chemistry', 'Statistical Software', 'Statistical software', 'Ceramic Engineering', 'Plant Design', 'Marketing', 'Construction', 'Waves', 'Waste Treatment', 'Time Value Of Money', 'Electrical Wiring', 'Crystallography', 'Electricity', 'Acceptance Sampling']",83
